ocel:eid,ocel:activity,ocel:timestamp,p_duration[s],s_co2e[kg],i_electric-from-grid-de[kWh],i_steel-waste-to-recycle[kg],i_gas_input[Wh],i_emission-of-burn[Wh],i_coating-material[kg],i_coating-material-waste[kg],i_compressed-air[m3],i_gas-n2-used[m3],i_gas-n2-emiited-to-air[m3],i_steel-waste[kg],i_cardboard-box[kg]
e_split_1,SplitSteelSheet,2023-04-03 07:38:46+00:00,6.45815106562,0.0067576962,0.0098666,0.00042,,,,,,,,,
e_split_2,SplitSteelSheet,2023-04-03 07:38:53+00:00,6.66942626174,0.0069784914,0.0101894,0.00042,,,,,,,,,
e_split_3,SplitSteelSheet,2023-04-03 07:38:59+00:00,6.46127402273,0.0067609794,0.0098714,0.00042,,,,,,,,,
e_split_4,SplitSteelSheet,2023-04-03 07:39:06+00:00,6.56081527807,0.0068650158,0.0100235,0.00042,,,,,,,,,
e_split_5,SplitSteelSheet,2023-04-03 07:39:12+00:00,6.5291579575,0.0068319102,0.0099751,0.00042,,,,,,,,,
e_split_6,SplitSteelSheet,2023-04-03 07:39:19+00:00,6.7275526383,0.0070392306,0.0102782,0.00042,,,,,,,,,
e_split_7,SplitSteelSheet,2023-04-03 07:39:26+00:00,6.60523625482,0.006911391,0.0100913,0.00042,,,,,,,,,
e_split_8,SplitSteelSheet,2023-04-03 07:39:33+00:00,6.55111464974,0.0068548242,0.0100086,0.00042,,,,,,,,,
e_split_9,SplitSteelSheet,2023-04-03 07:39:39+00:00,6.74814512754,0.0070607766,0.0103097,0.00042,,,,,,,,,
e_heat_1,HeatSteelSheet,2023-04-03 07:39:42+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_10,SplitSteelSheet,2023-04-03 07:39:46+00:00,6.65662697311,0.006965085,0.0101698,0.00042,,,,,,,,,
e_heat_2,HeatSteelSheet,2023-04-03 07:39:52+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_11,SplitSteelSheet,2023-04-03 07:39:53+00:00,6.67735079186,0.0069867678,0.0102015,0.00042,,,,,,,,,
e_heat_3,HeatSteelSheet,2023-04-03 07:39:58+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_12,SplitSteelSheet,2023-04-03 07:39:59+00:00,6.53215140506,0.0068350566,0.0099797,0.00042,,,,,,,,,
e_heat_4,HeaSteelSheet,2023-04-03 07:40:00+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_13,SplitSteelSheet,2023-04-03 07:40:06+00:00,6.57239389944,0.0068771226,0.0100412,0.00042,,,,,,,,,
e_heat_5,HatSteelSheet,2023-04-03 07:40:10+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_14,SplitSteelSheet,2023-04-03 07:40:13+00:00,6.66911210845,0.0069781494,0.0101889,0.00042,,,,,,,,,
e_heat_6,HeatSteelSheet,2023-04-03 07:40:15+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_15,SplitSteelSheet,2023-04-03 07:40:20+00:00,6.65571390733,0.0069641958,0.0101685,0.00042,,,,,,,,,
e_heat_7,HeatSteelSheet,2023-04-03 07:40:25+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_16,SplitSteelSheet,2023-04-03 07:40:26+00:00,6.78041416423,0.0070944978,0.010359,0.00042,,,,,,,,,
e_heat_8,HeatSteelSheet,2023-04-03 07:40:30+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_17,SplitSteelSheet,2023-04-03 07:40:33+00:00,6.40397052321,0.006701061,0.0097838,0.00042,,,,,,,,,
e_heat_9,HeatSteelSheet,2023-04-03 07:40:34+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_18,SplitSteelSheet,2023-04-03 07:40:40+00:00,6.49692611571,0.0067982574,0.0099259,0.00042,,,,,,,,,
e_heat_10,HeatSteelSheet,2023-04-03 07:40:45+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_19,SplitSteelSheet,2023-04-03 07:40:47+00:00,6.79000486576,0.0071044842,0.0103736,0.00042,,,,,,,,,
e_heat_11,HeatSteelSheet,2023-04-03 07:40:50+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_20,SplitSteelSheet,2023-04-03 07:40:53+00:00,6.58081344059,0.0068858778,0.010054,0.00042,,,,,,,,,
e_heat_12,HeatSteelSheet,2023-04-03 07:40:57+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_21,SplitSteelSheet,2023-04-03 07:41:00+00:00,6.6058467296,0.006912075,0.0100923,0.00042,,,,,,,,,
e_heat_13,HeatSteelSheet,2023-04-03 07:41:02+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_22,SplitSteelSheet,2023-04-03 07:41:06+00:00,6.74719908171,0.0070597506,0.0103082,0.00042,,,,,,,,,
e_heat_14,HetSteelSheet,2023-04-03 07:41:12+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_23,SplitSteelSheet,2023-04-03 07:41:13+00:00,6.77713251919,0.0070910778,0.010354,0.00042,,,,,,,,,
e_heat_15,HeatSteelSheet,2023-04-03 07:41:15+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_24,SplitSteelSheet,2023-04-03 07:41:20+00:00,6.66584398123,0.0069747294,0.0101839,0.00042,,,,,,,,,
e_heat_16,HeatSteelSheet,2023-04-03 07:41:22+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_25,SplitSteelSheet,2023-04-03 07:41:26+00:00,6.59734383235,0.006903183,0.0100793,0.00042,,,,,,,,,
e_heat_17,HeatSteelSheet,2023-04-03 07:41:29+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_26,SplitSteelSheet,2023-04-03 07:41:33+00:00,6.56610386579,0.0068704878,0.0100315,0.00042,,,,,,,,,
e_heat_18,HeatSteelShet,2023-04-03 07:41:37+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_27,SplitSteelSheet,2023-04-03 07:41:40+00:00,6.55573118569,0.0068596806,0.0100157,0.00042,,,,,,,,,
e_heat_19,HeatSteelSheet,2023-04-03 07:41:45+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_28,SplitSteelSheet,2023-04-03 07:41:46+00:00,6.67597507215,0.0069853314,0.0101994,0.00042,,,,,,,,,
e_heat_20,HeatSteelSheet,2023-04-03 07:41:49+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_29,SplitSteelSheet,2023-04-03 07:41:53+00:00,6.35607768008,0.0066510606,0.0097107,0.00042,,,,,,,,,
e_heat_21,HeatSteelSheet,2023-04-03 07:41:57+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_30,SplitSteelSheet,2023-04-03 07:42:00+00:00,6.45894783897,0.006758517,0.0098678,0.00042,,,,,,,,,
e_heat_22,HeatSteelSheet,2023-04-03 07:42:05+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_31,SplitSteelSheet,2023-04-03 07:42:07+00:00,6.67576723617,0.0069851262,0.0101991,0.00042,,,,,,,,,
e_heat_23,HeatSteelSheet,2023-04-03 07:42:10+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_32,SplitSteelSheet,2023-04-03 07:42:13+00:00,6.49108990952,0.0067921014,0.0099169,0.00042,,,,,,,,,
e_heat_24,HeatSteelSheet,2023-04-03 07:42:18+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_33,SplitSteelSheet,2023-04-03 07:42:20+00:00,6.85554788909,0.007173021,0.0104738,0.00042,,,,,,,,,
e_heat_25,HeatSteelSheet,2023-04-03 07:42:23+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_34,SplitSteelSheet,2023-04-03 07:42:26+00:00,6.47051275998,0.0067706238,0.0098855,0.00042,,,,,,,,,
e_heat_26,HeatSteelSheet,2023-04-03 07:42:31+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_35,SplitSteelSheet,2023-04-03 07:42:33+00:00,6.78638430755,0.0071007222,0.0103681,0.00042,,,,,,,,,
e_heat_27,HeatSeelSheet,2023-04-03 07:42:35+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_36,SplitSteelSheet,2023-04-03 07:42:40+00:00,6.65390544841,0.0069622806,0.0101657,0.00042,,,,,,,,,
e_heat_28,HeatSteelSheet,2023-04-03 07:42:42+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_37,SplitSteelSheet,2023-04-03 07:42:46+00:00,6.59667662716,0.006902499,0.0100783,0.00042,,,,,,,,,
e_heat_29,HeatSteelSheet,2023-04-03 07:42:49+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_38,SplitSteelSheet,2023-04-03 07:42:53+00:00,6.85963537299,0.0071772618,0.01048,0.00042,,,,,,,,,
e_heat_30,HeaSteelSheet,2023-04-03 07:42:56+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_39,SplitSteelSheet,2023-04-03 07:42:59+00:00,6.84055052004,0.007157289,0.0104508,0.00042,,,,,,,,,
e_heat_31,HeatSteelSheet,2023-04-03 07:43:03+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_40,SplitSteelSheet,2023-04-03 07:43:06+00:00,7.14382752361,0.0074742546,0.0109142,0.00042,,,,,,,,,
e_heat_32,HeatSteelSheet,2023-04-03 07:43:11+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_41,SplitSteelSheet,2023-04-03 07:43:12+00:00,6.59046640246,0.006896001,0.0100688,0.00042,,,,,,,,,
e_heat_33,HeatSteelSheet,2023-04-03 07:43:14+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_42,SplitSteelSheet,2023-04-03 07:43:19+00:00,6.66730890183,0.0069763026,0.0101862,0.00042,,,,,,,,,
e_heat_34,HeatSteelSheet,2023-04-03 07:43:23+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_43,SplitSteelSheet,2023-04-03 07:43:25+00:00,6.73370451827,0.0070456602,0.0102876,0.00042,,,,,,,,,
e_heat_35,HeatSteelSheet,2023-04-03 07:43:30+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_44,SplitSteelSheet,2023-04-03 07:43:32+00:00,6.90528215633,0.0072249366,0.0105497,0.00042,,,,,,,,,
e_heat_36,HeatSteelSheet,2023-04-03 07:43:36+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_45,SplitSteelSheet,2023-04-03 07:43:39+00:00,6.68733227787,0.006997233,0.0102168,0.00042,,,,,,,,,
e_heat_37,HeatSteelSheet,2023-04-03 07:43:42+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_46,SplitSteelSheet,2023-04-03 07:43:45+00:00,6.81099973482,0.0071264406,0.0104057,0.00042,,,,,,,,,
e_heat_38,HeatSteelSheet,2023-04-03 07:43:50+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_47,SplitSteelSheet,2023-04-03 07:43:52+00:00,6.49790082709,0.006799215,0.0099273,0.00042,,,,,,,,,
e_heat_39,HeatSteelSheet,2023-04-03 07:43:57+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_48,SplitSteelSheet,2023-04-03 07:43:59+00:00,6.49726234069,0.0067985994,0.0099264,0.00042,,,,,,,,,
e_heat_40,HeatSteelSheet,2023-04-03 07:44:05+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_49,SplitSteelSheet,2023-04-03 07:44:06+00:00,6.67970768812,0.0069892302,0.0102051,0.00042,,,,,,,,,
e_heat_41,HeatSteelSheet,2023-04-03 07:44:09+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_50,SplitSteelSheet,2023-04-03 07:44:12+00:00,6.36262064817,0.0066579006,0.0097207,0.00042,,,,,,,,,
e_heat_42,HeatSteelSheet,2023-04-03 07:44:14+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_51,SplitSteelSheet,2023-04-03 07:44:19+00:00,6.61457705624,0.0069211722,0.0101056,0.00042,,,,,,,,,
e_heat_43,HeatSteelSheet,2023-04-03 07:44:23+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_52,SplitSteelSheet,2023-04-03 07:44:26+00:00,6.70957064084,0.0070204206,0.0102507,0.00042,,,,,,,,,
e_heat_44,HeatSteelSheet,2023-04-03 07:44:28+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_53,SplitSteelSheet,2023-04-03 07:44:33+00:00,6.4582184382,0.0067577646,0.0098667,0.00042,,,,,,,,,
e_heat_45,HeatSteelSheet,2023-04-03 07:44:38+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_54,SplitSteelSheet,2023-04-03 07:44:40+00:00,6.84273014476,0.0071596146,0.0104542,0.00042,,,,,,,,,
e_heat_46,HeatSteeSheet,2023-04-03 07:44:45+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_55,SplitSteelSheet,2023-04-03 07:44:46+00:00,6.47371997798,0.0067739754,0.0098904,0.00042,,,,,,,,,
e_heat_47,HeatSteelSheet,2023-04-03 07:44:50+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_56,SplitSteelSheet,2023-04-03 07:44:53+00:00,6.68792592765,0.0069978486,0.0102177,0.00042,,,,,,,,,
e_heat_48,HeatSteelSheet,2023-04-03 07:44:55+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_57,SplitSteelSheet,2023-04-03 07:45:00+00:00,6.56450032845,0.0068688462,0.0100291,0.00042,,,,,,,,,
e_heat_49,HeatSteelShet,2023-04-03 07:45:02+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_58,SplitSteelSheet,2023-04-03 07:45:07+00:00,6.79196773053,0.0071065362,0.0103766,0.00042,,,,,,,,,
e_heat_50,HeatSteelSheet,2023-04-03 07:45:09+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_59,SplitSteelSheet,2023-04-03 07:45:13+00:00,7.02462415089,0.0073496982,0.0107321,0.00042,,,,,,,,,
e_heat_51,HeatSteelSheet,2023-04-03 07:45:16+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_60,SplitSteelSheet,2023-04-03 07:45:20+00:00,6.65460427926,0.006963033,0.0101668,0.00042,,,,,,,,,
e_heat_52,HeatSteelSheet,2023-04-03 07:45:23+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_61,SplitSteelSheet,2023-04-03 07:45:26+00:00,6.50412989187,0.0068057814,0.0099369,0.00042,,,,,,,,,
