ocel:oid,ocel:type,m_metadata,p_mass[kg],p_material[EN10130:2006],s_co2e[kg],i_steel-waste[kg],P_electric-from-grid-de[kWh],P_gas-from-grid-de[m3],p_init-len[cm],p_width[cm],i_material-cold-rolled-steel[kg],i_steel-waste-to-recycle[kg],i_material-steel-pin[kg],P_compressed-air[m3]
o_facility_1,Facility,DE01,,,,,,,,,,,,
o_femalepart_200,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_188,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_189,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_80,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_94,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_63,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_17,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_44,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_114,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_103,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_32,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_18,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_194,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_59,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_77,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_102,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_38,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_178,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_144,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_14,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_115,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_50,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_108,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_125,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_6,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_128,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_9,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_109,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_41,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_175,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_104,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_168,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_130,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_88,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_163,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_67,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_79,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_8,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_40,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_173,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_121,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_19,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_134,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_169,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_62,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_199,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_1,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_45,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_47,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_58,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_183,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_70,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_113,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_46,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_154,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_174,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_39,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_54,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_140,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_12,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_65,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_145,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_20,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_49,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_34,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_93,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_28,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_133,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_187,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_157,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_15,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_147,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_71,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_85,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_76,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_11,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_127,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_33,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_37,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_27,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_56,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_60,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_193,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_126,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_87,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_146,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_30,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_176,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_139,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_43,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_86,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_155,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_22,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_7,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_197,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_184,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_159,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_66,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_55,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_164,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_180,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_220,FemalePart,,?,DC01,?,?,,,,,,,,
